name,address,city,state,zip_code,property_type,year_built,total_area,description
"Sunset Apartments","123 Main Street","Nairobi","Nairobi County","00100","Apartment","2015","5000","Modern apartment complex with 20 units in the heart of Nairobi CBD"
"Green Valley Villas","456 Valley Road","Kiambu","Kiambu County","00200","Villa","2018","8000","Luxury villas with garden and swimming pool facilities"
"Riverside Towers","789 River Lane","Mombasa","Mombasa County","80100","High-rise","2020","12000","Premium high-rise building with ocean views and modern amenities"
"Palm Court Residences","321 Palm Avenue","Kisumu","Kisumu County","40100","Apartment","2017","6000","Family-friendly apartments near schools and shopping centers"
"Hilltop Mansions","654 Hill Drive","Nakuru","Nakuru County","20100","Mansion","2016","10000","Exclusive mansions with panoramic views of Lake Nakuru"
"Garden Estate Homes","987 Garden Street","Eldoret","Uasin Gishu County","30100","Townhouse","2019","7000","Spacious townhouses with private gardens and parking"
"City Center Plaza","147 City Road","Nairobi","Nairobi County","00300","Commercial","2014","15000","Mixed-use building with retail and residential units"
"Lakeview Apartments","258 Lake Road","Kisumu","Kisumu County","40200","Apartment","2021","5500","Modern lakeside apartments with stunning water views"
"Parkside Residences","369 Park Avenue","Thika","Kiambu County","01000","Apartment","2018","6500","Affordable housing near industrial area with good transport"
"Coastal Breeze Villas","741 Beach Road","Mombasa","Mombasa County","80200","Villa","2019","9000","Beachfront villas with private access to white sand beaches"
